number,value,datetime_start,datetime_complete,duration,params_c1,params_c2,params_n_particles,params_w,state
0,0.00025725545608878964,2026-01-13 10:40:14.272850,2026-01-13 10:40:14.398097,0 days 00:00:00.125247,1.8494460373233679,1.853134469384495,52,0.5962720256185463,COMPLETE
1,33.17856607620902,2026-01-13 10:40:14.399351,2026-01-13 10:40:14.502286,0 days 00:00:00.102935,1.8000393718820933,0.6876670341899496,41,0.22056547728021692,COMPLETE
2,32.89694193227075,2026-01-13 10:40:14.503450,2026-01-13 10:40:14.653075,0 days 00:00:00.149625,1.8511166932883842,1.8662554973922618,35,0.4282481703307732,COMPLETE
3,32.896941932270764,2026-01-13 10:40:14.654371,2026-01-13 10:40:14.740379,0 days 00:00:00.086008,1.3843138429506063,0.9667066712839287,36,0.7187907309748547,COMPLETE
4,32.89694193227075,2026-01-13 10:40:14.741634,2026-01-13 10:40:14.821699,0 days 00:00:00.080065,1.6619743234650142,1.8468898568855463,31,0.6594644229600946,COMPLETE
