number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,1.015050631109679e-07,2026-01-13 10:39:43.401456,2026-01-13 10:39:43.415196,0 days 00:00:00.013740,87,14,COMPLETE
1,4.4229432294310216e-11,2026-01-13 10:39:43.415807,2026-01-13 10:39:43.439682,0 days 00:00:00.023875,64,38,COMPLETE
2,4.25924291258916e-05,2026-01-13 10:39:43.440265,2026-01-13 10:39:43.445003,0 days 00:00:00.004738,49,10,COMPLETE
3,9.556990565084773e-14,2026-01-13 10:39:43.445378,2026-01-13 10:39:43.480906,0 days 00:00:00.035528,119,31,COMPLETE
4,4.106197890910689e-07,2026-01-13 10:39:43.481531,2026-01-13 10:39:43.489704,0 days 00:00:00.008173,97,9,COMPLETE
