number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,0.007400896566138959,2026-01-13 10:40:10.006615,2026-01-13 10:40:10.091762,0 days 00:00:00.085147,186,34,COMPLETE
1,2.220446049250313e-16,2026-01-13 10:40:10.092396,2026-01-13 10:40:10.155728,0 days 00:00:00.063332,186,26,COMPLETE
2,1.0325074129013956e-14,2026-01-13 10:40:10.156551,2026-01-13 10:40:10.203672,0 days 00:00:00.047121,147,23,COMPLETE
3,0.4961992378698318,2026-01-13 10:40:10.204567,2026-01-13 10:40:10.214081,0 days 00:00:00.009514,95,6,COMPLETE
4,0.06681612613607113,2026-01-13 10:40:10.214728,2026-01-13 10:40:10.228639,0 days 00:00:00.013911,60,17,COMPLETE
5,0.39478989738601356,2026-01-13 10:40:10.229264,2026-01-13 10:40:10.237545,0 days 00:00:00.008281,78,7,COMPLETE
