number,value,datetime_start,datetime_complete,duration,params_mutation,params_popsize,params_recombination,state
0,1.0000322189198978e-17,2026-01-13 10:39:52.187923,2026-01-13 10:39:52.329893,0 days 00:00:00.141970,0.8349556062552645,37,0.42611612849726604,COMPLETE
1,7.888609052210118e-31,2026-01-13 10:39:52.330498,2026-01-13 10:39:52.454520,0 days 00:00:00.124022,0.7733519789653228,30,0.838491821319242,COMPLETE
2,4.105551149585064e-18,2026-01-13 10:39:52.455216,2026-01-13 10:39:52.488794,0 days 00:00:00.033578,0.7293512767233952,8,0.4735385545750834,COMPLETE
3,1.9721522630525295e-31,2026-01-13 10:39:52.489529,2026-01-13 10:39:52.536960,0 days 00:00:00.047431,0.7151560797315915,11,0.8023588589003636,COMPLETE
4,1.008362373913541e-18,2026-01-13 10:39:52.537718,2026-01-13 10:39:52.588326,0 days 00:00:00.050608,0.7990432019110112,12,0.5415870121344792,COMPLETE
