number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,0.0003290884703730512,2026-01-13 10:39:56.005792,2026-01-13 10:39:56.044948,0 days 00:00:00.039156,101,23,COMPLETE
1,0.0072846389124805455,2026-01-13 10:39:56.045571,2026-01-13 10:39:56.061806,0 days 00:00:00.016235,106,9,COMPLETE
2,0.0025891882527844245,2026-01-13 10:39:56.062318,2026-01-13 10:39:56.147981,0 days 00:00:00.085663,138,38,COMPLETE
3,0.0010046415296613986,2026-01-13 10:39:56.148503,2026-01-13 10:39:56.177214,0 days 00:00:00.028711,161,11,COMPLETE
4,0.00010565767506065527,2026-01-13 10:39:56.177909,2026-01-13 10:39:56.250696,0 days 00:00:00.072787,185,25,COMPLETE
5,0.0023542563648604187,2026-01-13 10:39:56.251416,2026-01-13 10:39:56.301008,0 days 00:00:00.049592,177,16,COMPLETE
6,0.01185012298886079,2026-01-13 10:39:56.301544,2026-01-13 10:39:56.326393,0 days 00:00:00.024849,173,9,COMPLETE
7,0.9064797684296941,2026-01-13 10:39:56.326868,2026-01-13 10:39:56.335458,0 days 00:00:00.008590,45,12,COMPLETE
8,0.0019212796962122525,2026-01-13 10:39:56.335904,2026-01-13 10:39:56.360979,0 days 00:00:00.025075,137,11,COMPLETE
