number,value,datetime_start,datetime_complete,duration,params_c1,params_c2,params_n_particles,params_w,state
0,32.54954957592966,2026-01-13 10:40:25.740353,2026-01-13 10:40:25.839401,0 days 00:00:00.099048,1.385178093157015,1.1704191454946922,35,0.4958249338221553,COMPLETE
1,32.54954957592966,2026-01-13 10:40:25.841740,2026-01-13 10:40:25.923327,0 days 00:00:00.081587,0.7385676908485332,0.8513850791540332,28,0.6681127265655284,COMPLETE
2,32.54954957592966,2026-01-13 10:40:25.924640,2026-01-13 10:40:26.072490,0 days 00:00:00.147850,0.5231509700587734,0.689377475210807,56,0.5367314949691058,COMPLETE
3,32.54954957592966,2026-01-13 10:40:26.074052,2026-01-13 10:40:26.137094,0 days 00:00:00.063042,1.8232250401043706,1.4457208228561187,20,0.49466831065992334,COMPLETE
4,32.549549575929674,2026-01-13 10:40:26.138358,2026-01-13 10:40:26.242893,0 days 00:00:00.104535,0.6344943260437403,0.8316604243391199,41,0.7504480463079244,COMPLETE
