number,value,datetime_start,datetime_complete,duration,params_mutation,params_popsize,params_recombination,state
0,78.96328490936503,2026-01-13 10:40:37.717046,2026-01-13 10:40:37.823026,0 days 00:00:00.105980,0.7940179753235833,28,0.6543136119533575,COMPLETE
1,-19.738049865515677,2026-01-13 10:40:37.824619,2026-01-13 10:40:37.930358,0 days 00:00:00.105739,0.6595496328082495,34,0.916770731152995,COMPLETE
2,-19.738049866501342,2026-01-13 10:40:37.932091,2026-01-13 10:40:38.029212,0 days 00:00:00.097121,0.4543377442591646,37,0.7672345156514491,COMPLETE
3,78.96328490953886,2026-01-13 10:40:38.030642,2026-01-13 10:40:38.142884,0 days 00:00:00.112242,0.8604274849427587,19,0.5018556906927085,COMPLETE
4,-19.738049865534208,2026-01-13 10:40:38.144326,2026-01-13 10:40:38.248067,0 days 00:00:00.103741,0.5172731757565638,23,0.4219150473645364,COMPLETE
5,-19.738049866865595,2026-01-13 10:40:38.249331,2026-01-13 10:40:38.373864,0 days 00:00:00.124533,0.74198037405883,19,0.4533243605578272,COMPLETE
