number,value,datetime_start,datetime_complete,duration,params_mutation,params_popsize,params_recombination,state
0,0.0,2026-01-13 10:39:54.137166,2026-01-13 10:39:54.157248,0 days 00:00:00.020082,0.33493190301651804,10,0.56667744234144,COMPLETE
1,0.0,2026-01-13 10:39:54.158077,2026-01-13 10:39:54.245963,0 days 00:00:00.087886,0.7891699760525536,23,0.4178636514536242,COMPLETE
2,0.0,2026-01-13 10:39:54.246588,2026-01-13 10:39:54.284944,0 days 00:00:00.038356,0.31040384552646155,23,0.5773929453842231,COMPLETE
3,0.0,2026-01-13 10:39:54.285525,2026-01-13 10:39:54.382665,0 days 00:00:00.097140,0.7198838348105174,28,0.417063247749575,COMPLETE
4,0.0,2026-01-13 10:39:54.383228,2026-01-13 10:39:54.432559,0 days 00:00:00.049331,0.6606946235575752,19,0.817549518312557,COMPLETE
