number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,0.0,2026-01-13 10:39:54.805541,2026-01-13 10:39:54.850631,0 days 00:00:00.045090,113,38,COMPLETE
1,4.984548720332434,2026-01-13 10:39:54.851441,2026-01-13 10:39:54.862216,0 days 00:00:00.010775,73,14,COMPLETE
2,0.0,2026-01-13 10:39:54.862782,2026-01-13 10:39:54.919172,0 days 00:00:00.056390,177,30,COMPLETE
3,0.0008374861325819438,2026-01-13 10:39:54.919715,2026-01-13 10:39:54.941281,0 days 00:00:00.021566,116,18,COMPLETE
4,3.197442310920451e-14,2026-01-13 10:39:54.941643,2026-01-13 10:39:54.961670,0 days 00:00:00.020027,67,28,COMPLETE
