number,value,datetime_start,datetime_complete,duration,params_c1,params_c2,params_n_particles,params_w,state
0,2.7692470520652896e-07,2026-01-13 10:39:48.276716,2026-01-13 10:39:48.285675,0 days 00:00:00.008959,1.8970286948966375,1.051076920232851,47,0.8155286175577066,COMPLETE
1,1.1215490560271399e-09,2026-01-13 10:39:48.286269,2026-01-13 10:39:48.295750,0 days 00:00:00.009481,1.5358082785881972,0.7707638776138668,51,0.7254936994503665,COMPLETE
2,1.5285763304219636e-12,2026-01-13 10:39:48.296220,2026-01-13 10:39:48.307157,0 days 00:00:00.010937,0.5411218902535915,1.6071604443688754,47,0.6349300346995221,COMPLETE
3,7.238131192382723e-08,2026-01-13 10:39:48.307720,2026-01-13 10:39:48.316868,0 days 00:00:00.009148,1.6233464832363445,1.7231992283255977,44,0.6819731195049659,COMPLETE
4,1.8062381905526446e-13,2026-01-13 10:39:48.317773,2026-01-13 10:39:48.326013,0 days 00:00:00.008240,0.5532048312026743,0.5622083090634036,26,0.4121972853233542,COMPLETE
