number,value,datetime_start,datetime_complete,duration,params_grad_refinement_pct,params_init_pack_size,params_max_iterations,params_n_packs,params_surrogate_enabled,params_use_gradient,state
0,0.0006447887112521755,2026-01-13 10:39:56.579426,2026-01-13 10:39:56.692692,0 days 00:00:00.113266,0.16551123587089056,16,222,3,True,False,COMPLETE
1,0.40103975297659034,2026-01-13 10:39:56.693260,2026-01-13 10:39:56.750158,0 days 00:00:00.056898,0.19142973700105143,19,207,2,True,False,COMPLETE
2,0.0011597743648152914,2026-01-13 10:39:56.750744,2026-01-13 10:39:56.870355,0 days 00:00:00.119611,0.07179112615101796,16,221,5,False,True,COMPLETE
3,0.010050312389807914,2026-01-13 10:39:56.871233,2026-01-13 10:39:56.912555,0 days 00:00:00.041322,0.23558025407603667,13,239,4,True,False,COMPLETE
4,0.005415910857720974,2026-01-13 10:39:56.913148,2026-01-13 10:39:56.952123,0 days 00:00:00.038975,0.08183312038908325,17,301,2,False,False,COMPLETE
