number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,0.009586766791528034,2026-01-13 10:40:09.659600,2026-01-13 10:40:09.685905,0 days 00:00:00.026305,173,8,COMPLETE
1,0.025640754297435286,2026-01-13 10:40:09.686865,2026-01-13 10:40:09.702478,0 days 00:00:00.015613,57,15,COMPLETE
2,0.027200492276102106,2026-01-13 10:40:09.702968,2026-01-13 10:40:09.731144,0 days 00:00:00.028176,164,9,COMPLETE
3,0.0,2026-01-13 10:40:09.731713,2026-01-13 10:40:09.826928,0 days 00:00:00.095215,144,36,COMPLETE
4,0.05922473989669674,2026-01-13 10:40:09.827754,2026-01-13 10:40:09.871759,0 days 00:00:00.044005,79,30,COMPLETE
5,0.007409446421253629,2026-01-13 10:40:09.872368,2026-01-13 10:40:09.909477,0 days 00:00:00.037109,173,12,COMPLETE
6,0.01996973952802228,2026-01-13 10:40:09.910120,2026-01-13 10:40:09.934817,0 days 00:00:00.024697,180,7,COMPLETE
7,0.008654428998774222,2026-01-13 10:40:09.935427,2026-01-13 10:40:09.997894,0 days 00:00:00.062467,95,32,COMPLETE
