number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,0.9987168542583618,2026-01-13 10:39:56.366693,2026-01-13 10:39:56.390579,0 days 00:00:00.023886,81,26,COMPLETE
1,0.23091952197997045,2026-01-13 10:39:56.391345,2026-01-13 10:39:56.406001,0 days 00:00:00.014656,81,15,COMPLETE
2,0.0018571496014274658,2026-01-13 10:39:56.406679,2026-01-13 10:39:56.453193,0 days 00:00:00.046514,192,20,COMPLETE
3,0.9965995703120996,2026-01-13 10:39:56.453781,2026-01-13 10:39:56.479128,0 days 00:00:00.025347,86,26,COMPLETE
4,0.010013331010036097,2026-01-13 10:39:56.479744,2026-01-13 10:39:56.498958,0 days 00:00:00.019214,60,27,COMPLETE
5,0.9949773105434261,2026-01-13 10:39:56.499465,2026-01-13 10:39:56.568033,0 days 00:00:00.068568,181,32,COMPLETE
6,0.2168359641508495,2026-01-13 10:39:56.568679,2026-01-13 10:39:56.574243,0 days 00:00:00.005564,66,7,COMPLETE
