number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,1.9901267321601779,2026-01-13 10:39:57.486959,2026-01-13 10:39:57.520225,0 days 00:00:00.033266,67,29,COMPLETE
1,0.9949953516229115,2026-01-13 10:39:57.520855,2026-01-13 10:39:57.593396,0 days 00:00:00.072541,193,24,COMPLETE
2,0.0,2026-01-13 10:39:57.593985,2026-01-13 10:39:57.691178,0 days 00:00:00.097193,200,31,COMPLETE
3,0.9955236479392049,2026-01-13 10:39:57.691918,2026-01-13 10:39:57.704009,0 days 00:00:00.012091,51,14,COMPLETE
4,0.0,2026-01-13 10:39:57.704569,2026-01-13 10:39:57.729132,0 days 00:00:00.024563,90,16,COMPLETE
5,7.105427357601002e-15,2026-01-13 10:39:57.729824,2026-01-13 10:39:57.747142,0 days 00:00:00.017318,200,5,COMPLETE
6,0.0,2026-01-13 10:39:57.747726,2026-01-13 10:39:57.766380,0 days 00:00:00.018654,52,22,COMPLETE
