number,value,datetime_start,datetime_complete,duration,params_mutation,params_popsize,params_recombination,state
0,0.0,2026-01-13 10:39:49.488729,2026-01-13 10:39:49.622672,0 days 00:00:00.133943,0.670409025563261,34,0.9249121688472751,COMPLETE
1,0.0,2026-01-13 10:39:49.623643,2026-01-13 10:39:49.726546,0 days 00:00:00.102903,0.6000126206755239,29,0.8933702011418532,COMPLETE
2,0.0,2026-01-13 10:39:49.727116,2026-01-13 10:39:49.853219,0 days 00:00:00.126103,0.5699183133713475,40,0.8989173919220381,COMPLETE
3,0.0,2026-01-13 10:39:49.853817,2026-01-13 10:39:49.888514,0 days 00:00:00.034697,0.35891478275929684,18,0.8794423928839712,COMPLETE
4,3.405044141676633e-28,2026-01-13 10:39:49.889561,2026-01-13 10:39:49.928216,0 days 00:00:00.038655,0.6410434598642478,9,0.6182438374663018,COMPLETE
