number,value,datetime_start,datetime_complete,duration,params_mutation,params_popsize,params_recombination,state
0,0.0073960403451885925,2026-01-13 10:40:24.322733,2026-01-13 10:40:24.467061,0 days 00:00:00.144328,0.5563776872533706,21,0.8787634107084555,COMPLETE
1,0.007396040334115339,2026-01-13 10:40:24.467944,2026-01-13 10:40:24.633668,0 days 00:00:00.165724,0.552225701731141,22,0.5433370783202884,COMPLETE
2,0.01971948924925737,2026-01-13 10:40:24.635111,2026-01-13 10:40:25.174141,0 days 00:00:00.539030,0.5611827542170046,37,0.4318598450904783,COMPLETE
3,0.009864672062646962,2026-01-13 10:40:25.175462,2026-01-13 10:40:25.366305,0 days 00:00:00.190843,0.8013897373996786,24,0.7844745828754354,COMPLETE
4,0.009864672061028146,2026-01-13 10:40:25.367605,2026-01-13 10:40:25.726891,0 days 00:00:00.359286,0.8146376912470061,21,0.4501056524207595,COMPLETE
