number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,-398.1153179881135,2026-01-13 10:40:34.115789,2026-01-13 10:40:34.280921,0 days 00:00:00.165132,115,32,COMPLETE
1,-398.115269793117,2026-01-13 10:40:34.282234,2026-01-13 10:40:34.358599,0 days 00:00:00.076365,113,14,COMPLETE
2,-398.11529222807576,2026-01-13 10:40:34.360144,2026-01-13 10:40:34.484957,0 days 00:00:00.124813,159,16,COMPLETE
3,-18.931659156594378,2026-01-13 10:40:34.486352,2026-01-13 10:40:34.529028,0 days 00:00:00.042676,41,21,COMPLETE
4,-398.0990694584784,2026-01-13 10:40:34.530355,2026-01-13 10:40:34.568913,0 days 00:00:00.038558,68,12,COMPLETE
