number,value,datetime_start,datetime_complete,duration,params_mutation,params_popsize,params_recombination,state
0,3.9968028886505635e-15,2026-01-13 10:40:00.770727,2026-01-13 10:40:00.855900,0 days 00:00:00.085173,0.4813561950636516,28,0.7381602877292093,COMPLETE
1,1.212363542890671e-13,2026-01-13 10:40:00.856578,2026-01-13 10:40:00.989989,0 days 00:00:00.133411,0.8698494565179624,25,0.8747810882388197,COMPLETE
2,4.440892098500626e-16,2026-01-13 10:40:00.990678,2026-01-13 10:40:01.145175,0 days 00:00:00.154497,0.5133931774798226,39,0.6193135452909359,COMPLETE
3,4.440892098500626e-16,2026-01-13 10:40:01.146004,2026-01-13 10:40:01.255211,0 days 00:00:00.109207,0.37605791952135303,39,0.593463606494555,COMPLETE
4,4.440892098500626e-16,2026-01-13 10:40:01.255833,2026-01-13 10:40:01.395929,0 days 00:00:00.140096,0.6718682298223578,27,0.6057406558790938,COMPLETE
