number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,1.4147228158064744e-05,2026-01-13 10:39:48.330728,2026-01-13 10:39:48.398675,0 days 00:00:00.067947,159,38,COMPLETE
1,1.4229834347239092e-05,2026-01-13 10:39:48.399353,2026-01-13 10:39:48.425865,0 days 00:00:00.026512,72,33,COMPLETE
2,0.015745823138541823,2026-01-13 10:39:48.426340,2026-01-13 10:39:48.435428,0 days 00:00:00.009088,51,16,COMPLETE
3,3.7372389351539002e-06,2026-01-13 10:39:48.435927,2026-01-13 10:39:48.472141,0 days 00:00:00.036214,160,20,COMPLETE
4,6.883495857200419e-05,2026-01-13 10:39:48.473047,2026-01-13 10:39:48.498360,0 days 00:00:00.025313,151,15,COMPLETE
5,8.62149104344294e-05,2026-01-13 10:39:48.498917,2026-01-13 10:39:48.522390,0 days 00:00:00.023473,104,20,COMPLETE
6,1.275592580320235e-05,2026-01-13 10:39:48.523018,2026-01-13 10:39:48.569633,0 days 00:00:00.046615,113,36,COMPLETE
7,8.724061553874116e-06,2026-01-13 10:39:48.570178,2026-01-13 10:39:48.596529,0 days 00:00:00.026351,155,15,COMPLETE
