number,value,datetime_start,datetime_complete,duration,params_grad_refinement_pct,params_init_pack_size,params_max_iterations,params_n_packs,params_surrogate_enabled,params_use_gradient,state
0,0.006424218878273269,2026-01-13 10:40:06.050351,2026-01-13 10:40:06.218106,0 days 00:00:00.167755,0.0644792626450958,23,338,4,True,True,COMPLETE
1,0.007233518847364895,2026-01-13 10:40:06.218710,2026-01-13 10:40:06.340241,0 days 00:00:00.121531,0.15272206355235274,16,380,6,True,False,COMPLETE
2,0.006948992839973744,2026-01-13 10:40:06.340955,2026-01-13 10:40:06.382531,0 days 00:00:00.041576,0.24965806230978083,8,279,6,False,False,COMPLETE
3,0.01885601384581692,2026-01-13 10:40:06.383173,2026-01-13 10:40:06.491930,0 days 00:00:00.108757,0.22662388201312084,18,262,4,False,True,COMPLETE
4,0.00999649067073749,2026-01-13 10:40:06.492502,2026-01-13 10:40:06.608278,0 days 00:00:00.115776,0.05908688908888045,16,370,6,False,False,COMPLETE
