number,value,datetime_start,datetime_complete,duration,params_grad_refinement_pct,params_init_pack_size,params_max_iterations,params_n_packs,params_surrogate_enabled,params_use_gradient,state
0,-14.758364230407096,2026-01-13 10:40:35.277081,2026-01-13 10:40:35.808893,0 days 00:00:00.531812,0.14605647494009733,21,367,6,False,True,COMPLETE
1,78.96434192268805,2026-01-13 10:40:35.810340,2026-01-13 10:40:36.435148,0 days 00:00:00.624808,0.1511732521408883,18,353,6,True,False,COMPLETE
2,118.62067658929664,2026-01-13 10:40:36.436487,2026-01-13 10:40:36.682874,0 days 00:00:00.246387,0.1881404946806448,18,256,3,False,False,COMPLETE
3,-19.722080640287572,2026-01-13 10:40:36.684236,2026-01-13 10:40:36.885454,0 days 00:00:00.201218,0.09611959156142835,9,321,5,True,False,COMPLETE
4,-5.839708007185891,2026-01-13 10:40:36.886918,2026-01-13 10:40:36.957085,0 days 00:00:00.070167,0.12757062921694617,13,345,2,False,True,COMPLETE
5,118.48505910748099,2026-01-13 10:40:36.958482,2026-01-13 10:40:37.140509,0 days 00:00:00.182027,0.07436149225269365,21,343,2,False,True,COMPLETE
6,121.54456383091406,2026-01-13 10:40:37.141834,2026-01-13 10:40:37.229475,0 days 00:00:00.087641,0.1902125060193467,16,294,2,True,True,COMPLETE
7,-19.459469566723783,2026-01-13 10:40:37.230851,2026-01-13 10:40:37.705964,0 days 00:00:00.475113,0.13368088129135736,23,333,6,False,True,COMPLETE
