number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,0.009438771685324365,2026-01-13 10:40:16.176018,2026-01-13 10:40:16.293735,0 days 00:00:00.117717,78,37,COMPLETE
1,0.0321248257105079,2026-01-13 10:40:16.295059,2026-01-13 10:40:16.402274,0 days 00:00:00.107215,140,17,COMPLETE
2,0.032807698520511464,2026-01-13 10:40:16.404279,2026-01-13 10:40:16.493622,0 days 00:00:00.089343,71,29,COMPLETE
3,0.08107976395007399,2026-01-13 10:40:16.495035,2026-01-13 10:40:16.601038,0 days 00:00:00.106003,161,16,COMPLETE
4,0.0278665899025915,2026-01-13 10:40:16.602327,2026-01-13 10:40:16.696428,0 days 00:00:00.094101,62,37,COMPLETE
