number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,1.1137620070121509e-05,2026-01-13 10:39:44.160913,2026-01-13 10:39:44.188541,0 days 00:00:00.027628,76,24,COMPLETE
1,7.99195730941846e-05,2026-01-13 10:39:44.189205,2026-01-13 10:39:44.201849,0 days 00:00:00.012644,45,18,COMPLETE
2,4.772756263293304e-07,2026-01-13 10:39:44.202410,2026-01-13 10:39:44.267894,0 days 00:00:00.065484,168,26,COMPLETE
3,2.923547458332746e-06,2026-01-13 10:39:44.268494,2026-01-13 10:39:44.291678,0 days 00:00:00.023184,64,25,COMPLETE
4,4.455803967499225e-07,2026-01-13 10:39:44.292097,2026-01-13 10:39:44.406678,0 days 00:00:00.114581,200,39,COMPLETE
5,4.301562624211842e-05,2026-01-13 10:39:44.407258,2026-01-13 10:39:44.413420,0 days 00:00:00.006162,68,5,COMPLETE
6,2.389146044280996e-06,2026-01-13 10:39:44.413970,2026-01-13 10:39:44.446259,0 days 00:00:00.032289,61,36,COMPLETE
