number,value,datetime_start,datetime_complete,duration,params_grad_refinement_pct,params_init_pack_size,params_max_iterations,params_n_packs,params_surrogate_enabled,params_use_gradient,state
0,0.0011255800501328572,2026-01-13 10:40:04.189538,2026-01-13 10:40:04.254441,0 days 00:00:00.064903,0.16289411494535355,15,313,3,True,False,COMPLETE
1,0.02423058597026584,2026-01-13 10:40:04.255074,2026-01-13 10:40:04.331613,0 days 00:00:00.076539,0.16243513473393648,11,226,6,False,False,COMPLETE
2,0.0014823423400085467,2026-01-13 10:40:04.332201,2026-01-13 10:40:04.419628,0 days 00:00:00.087427,0.10318144968573617,16,237,4,False,False,COMPLETE
3,0.03934161807507808,2026-01-13 10:40:04.420298,2026-01-13 10:40:04.497816,0 days 00:00:00.077518,0.1327702714625171,11,315,6,True,False,COMPLETE
4,0.008211635750108304,2026-01-13 10:40:04.498684,2026-01-13 10:40:04.632312,0 days 00:00:00.133628,0.20162516369408817,11,207,6,True,True,COMPLETE
