number,value,datetime_start,datetime_complete,duration,params_grad_refinement_pct,params_init_pack_size,params_max_iterations,params_n_packs,params_surrogate_enabled,params_use_gradient,state
0,0.024004553538134132,2026-01-13 10:40:28.087345,2026-01-13 10:40:28.430389,0 days 00:00:00.343044,0.1111141712616694,21,236,4,True,True,COMPLETE
1,239.2056527967684,2026-01-13 10:40:28.431731,2026-01-13 10:40:28.469227,0 days 00:00:00.037496,0.11165841823087,8,274,2,False,False,COMPLETE
2,2.8720573141072236e-05,2026-01-13 10:40:28.470713,2026-01-13 10:40:28.895388,0 days 00:00:00.424675,0.10338593774763737,13,385,5,True,True,COMPLETE
3,237.29067355241307,2026-01-13 10:40:28.896721,2026-01-13 10:40:28.954052,0 days 00:00:00.057331,0.05706000617523208,13,238,2,False,False,COMPLETE
4,0.0006792493735474636,2026-01-13 10:40:28.955116,2026-01-13 10:40:29.291941,0 days 00:00:00.336825,0.11259602691929355,14,229,4,False,True,COMPLETE
5,0.0027144493569721817,2026-01-13 10:40:29.293338,2026-01-13 10:40:29.459934,0 days 00:00:00.166596,0.2017844511626486,16,335,2,False,False,COMPLETE
6,237.23761367257066,2026-01-13 10:40:29.460843,2026-01-13 10:40:29.568559,0 days 00:00:00.107716,0.1591706624815536,8,231,3,False,True,COMPLETE
