number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,0.0012380228538729499,2026-01-13 10:39:50.006053,2026-01-13 10:39:50.052468,0 days 00:00:00.046415,178,17,COMPLETE
1,0.0008951446583433563,2026-01-13 10:39:50.053136,2026-01-13 10:39:50.098868,0 days 00:00:00.045732,160,21,COMPLETE
2,0.0016595943417916745,2026-01-13 10:39:50.099620,2026-01-13 10:39:50.126940,0 days 00:00:00.027320,91,22,COMPLETE
3,0.03158086994778391,2026-01-13 10:39:50.127604,2026-01-13 10:39:50.146906,0 days 00:00:00.019302,85,17,COMPLETE
4,0.0002922893815150591,2026-01-13 10:39:50.147718,2026-01-13 10:39:50.194302,0 days 00:00:00.046584,147,24,COMPLETE
5,0.002376759512766188,2026-01-13 10:39:50.195123,2026-01-13 10:39:50.218115,0 days 00:00:00.022992,99,18,COMPLETE
6,0.006842770132918644,2026-01-13 10:39:50.218825,2026-01-13 10:39:50.241354,0 days 00:00:00.022529,110,16,COMPLETE
7,0.13072708154069188,2026-01-13 10:39:50.242120,2026-01-13 10:39:50.245816,0 days 00:00:00.003696,51,5,COMPLETE
8,0.0017454612166536638,2026-01-13 10:39:50.246374,2026-01-13 10:39:50.283981,0 days 00:00:00.037607,181,17,COMPLETE
