number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,0.0002209685345914543,2026-01-13 10:39:47.123766,2026-01-13 10:39:47.136554,0 days 00:00:00.012788,87,12,COMPLETE
1,0.0011814892243945203,2026-01-13 10:39:47.137266,2026-01-13 10:39:47.149364,0 days 00:00:00.012098,113,10,COMPLETE
2,5.868054052494254e-07,2026-01-13 10:39:47.149955,2026-01-13 10:39:47.167351,0 days 00:00:00.017396,57,28,COMPLETE
3,2.642274526674769e-06,2026-01-13 10:39:47.168319,2026-01-13 10:39:47.187183,0 days 00:00:00.018864,77,23,COMPLETE
4,4.176271817760313e-07,2026-01-13 10:39:47.187751,2026-01-13 10:39:47.205182,0 days 00:00:00.017431,174,8,COMPLETE
5,1.506810236181898e-07,2026-01-13 10:39:47.205697,2026-01-13 10:39:47.276269,0 days 00:00:00.070572,189,36,COMPLETE
6,1.0458424183313855e-06,2026-01-13 10:39:47.276901,2026-01-13 10:39:47.305638,0 days 00:00:00.028737,163,17,COMPLETE
