number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,0.08628379911284556,2026-01-13 10:40:08.204908,2026-01-13 10:40:08.213543,0 days 00:00:00.008635,66,8,COMPLETE
1,0.011613637958625578,2026-01-13 10:40:08.214104,2026-01-13 10:40:08.241423,0 days 00:00:00.027319,111,13,COMPLETE
2,0.052283383496764646,2026-01-13 10:40:08.242077,2026-01-13 10:40:08.250770,0 days 00:00:00.008693,71,6,COMPLETE
3,0.0010473543374058814,2026-01-13 10:40:08.251312,2026-01-13 10:40:08.362633,0 days 00:00:00.111321,181,37,COMPLETE
4,0.05134600102914222,2026-01-13 10:40:08.363708,2026-01-13 10:40:08.384682,0 days 00:00:00.020974,120,10,COMPLETE
5,0.0012193600547942829,2026-01-13 10:40:08.385387,2026-01-13 10:40:08.431003,0 days 00:00:00.045616,147,18,COMPLETE
6,0.01800179312745742,2026-01-13 10:40:08.431796,2026-01-13 10:40:08.449296,0 days 00:00:00.017500,108,8,COMPLETE
7,0.0073768535241467426,2026-01-13 10:40:08.450173,2026-01-13 10:40:08.481347,0 days 00:00:00.031174,52,36,COMPLETE
