number,value,datetime_start,datetime_complete,duration,params_c1,params_c2,params_n_particles,params_w,state
0,5.4679422841949645e-18,2026-01-13 10:39:51.242911,2026-01-13 10:39:51.254516,0 days 00:00:00.011605,0.5665094902371961,1.2477947764611867,48,0.6533917653495283,COMPLETE
1,3.0687062891092623e-13,2026-01-13 10:39:51.254920,2026-01-13 10:39:51.266844,0 days 00:00:00.011924,1.2806700084689207,1.1092413172342732,41,0.6982459030535602,COMPLETE
2,0.0,2026-01-13 10:39:51.267416,2026-01-13 10:39:51.277805,0 days 00:00:00.010389,0.9040089820611066,1.7089805121432209,35,0.29273373033057515,COMPLETE
3,8.138694093835881e-24,2026-01-13 10:39:51.278516,2026-01-13 10:39:51.293319,0 days 00:00:00.014803,0.9689874957081792,1.3917324609294677,60,0.5015492321583348,COMPLETE
4,0.0,2026-01-13 10:39:51.293888,2026-01-13 10:39:51.305844,0 days 00:00:00.011956,0.8303004299553959,1.9697700442822805,48,0.275211301095327,COMPLETE
