number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,1.0151501218995194e-05,2026-01-13 10:39:46.807689,2026-01-13 10:39:46.843081,0 days 00:00:00.035392,87,25,COMPLETE
1,3.697323246984611e-06,2026-01-13 10:39:46.843750,2026-01-13 10:39:46.904265,0 days 00:00:00.060515,100,39,COMPLETE
2,2.679917038357133e-05,2026-01-13 10:39:46.904769,2026-01-13 10:39:46.917925,0 days 00:00:00.013156,40,21,COMPLETE
3,1.7857517861290634e-06,2026-01-13 10:39:46.918420,2026-01-13 10:39:47.003065,0 days 00:00:00.084645,136,40,COMPLETE
4,2.90274256386702e-06,2026-01-13 10:39:47.003712,2026-01-13 10:39:47.057031,0 days 00:00:00.053319,115,30,COMPLETE
5,1.4899964093230058e-05,2026-01-13 10:39:47.057589,2026-01-13 10:39:47.075807,0 days 00:00:00.018218,167,7,COMPLETE
6,3.8015394045351886e-06,2026-01-13 10:39:47.076625,2026-01-13 10:39:47.091975,0 days 00:00:00.015350,189,5,COMPLETE
7,1.5396629796743677e-06,2026-01-13 10:39:47.092549,2026-01-13 10:39:47.119271,0 days 00:00:00.026722,66,26,COMPLETE
