number,value,datetime_start,datetime_complete,duration,params_mutation,params_popsize,params_recombination,state
0,4.930380657631324e-32,2026-01-13 10:39:43.793126,2026-01-13 10:39:43.817365,0 days 00:00:00.024239,0.4630999664406741,9,0.8124307671273308,COMPLETE
1,4.930380657631324e-32,2026-01-13 10:39:43.817949,2026-01-13 10:39:43.869715,0 days 00:00:00.051766,0.4905605829887483,17,0.604012900192975,COMPLETE
2,4.930380657631324e-32,2026-01-13 10:39:43.870318,2026-01-13 10:39:43.938169,0 days 00:00:00.067851,0.648900861631434,20,0.8848178404673364,COMPLETE
3,6.567267035964923e-29,2026-01-13 10:39:43.938807,2026-01-13 10:39:44.004921,0 days 00:00:00.066114,0.7601035470797555,14,0.48927473929099285,COMPLETE
4,4.930380657631324e-32,2026-01-13 10:39:44.005582,2026-01-13 10:39:44.063600,0 days 00:00:00.058018,0.3609375773655045,19,0.429786844081045,COMPLETE
