number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,0.007811894486291937,2026-01-13 10:40:03.463499,2026-01-13 10:40:03.498025,0 days 00:00:00.034526,155,11,COMPLETE
1,0.004646713148499959,2026-01-13 10:40:03.498634,2026-01-13 10:40:03.600300,0 days 00:00:00.101666,132,39,COMPLETE
2,0.017126223357732062,2026-01-13 10:40:03.601069,2026-01-13 10:40:03.616964,0 days 00:00:00.015895,154,5,COMPLETE
3,0.0042891281530974545,2026-01-13 10:40:03.617664,2026-01-13 10:40:03.658074,0 days 00:00:00.040410,87,23,COMPLETE
4,0.03629380400801496,2026-01-13 10:40:03.658625,2026-01-13 10:40:03.672036,0 days 00:00:00.013411,47,14,COMPLETE
5,0.007694903064582537,2026-01-13 10:40:03.672687,2026-01-13 10:40:03.729657,0 days 00:00:00.056970,85,34,COMPLETE
6,0.023870966375629354,2026-01-13 10:40:03.730267,2026-01-13 10:40:03.744639,0 days 00:00:00.014372,48,15,COMPLETE
7,0.009016238748966732,2026-01-13 10:40:03.745211,2026-01-13 10:40:03.786830,0 days 00:00:00.041619,58,30,COMPLETE
