number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,0.0,2026-01-13 10:39:54.562766,2026-01-13 10:39:54.622816,0 days 00:00:00.060050,112,35,COMPLETE
1,0.9963854351907244,2026-01-13 10:39:54.623430,2026-01-13 10:39:54.630314,0 days 00:00:00.006884,49,9,COMPLETE
2,0.0,2026-01-13 10:39:54.630775,2026-01-13 10:39:54.653655,0 days 00:00:00.022880,70,22,COMPLETE
3,0.0,2026-01-13 10:39:54.654808,2026-01-13 10:39:54.731495,0 days 00:00:00.076687,192,26,COMPLETE
4,0.0,2026-01-13 10:39:54.732409,2026-01-13 10:39:54.800332,0 days 00:00:00.067923,132,28,COMPLETE
