number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,-398.10394976366024,2026-01-13 10:40:34.586364,2026-01-13 10:40:34.707606,0 days 00:00:00.121242,163,22,COMPLETE
1,-206.13413154359682,2026-01-13 10:40:34.709059,2026-01-13 10:40:34.860086,0 days 00:00:00.151027,176,25,COMPLETE
2,-398.1131874508146,2026-01-13 10:40:34.861366,2026-01-13 10:40:34.930470,0 days 00:00:00.069104,138,15,COMPLETE
3,-206.13413154359682,2026-01-13 10:40:34.932958,2026-01-13 10:40:34.958913,0 days 00:00:00.025955,45,18,COMPLETE
4,-206.13413154359682,2026-01-13 10:40:34.960120,2026-01-13 10:40:35.182220,0 days 00:00:00.222100,191,38,COMPLETE
5,-206.13413154359682,2026-01-13 10:40:35.183487,2026-01-13 10:40:35.207836,0 days 00:00:00.024349,147,5,COMPLETE
6,-206.13413154359682,2026-01-13 10:40:35.209153,2026-01-13 10:40:35.262956,0 days 00:00:00.053803,91,17,COMPLETE
