number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,1.283417816466681e-13,2026-01-13 10:40:05.406988,2026-01-13 10:40:05.443355,0 days 00:00:00.036367,54,31,COMPLETE
1,4.440892098500626e-16,2026-01-13 10:40:05.444054,2026-01-13 10:40:05.533787,0 days 00:00:00.089733,113,38,COMPLETE
2,4.440892098500626e-16,2026-01-13 10:40:05.534568,2026-01-13 10:40:05.691448,0 days 00:00:00.156880,195,40,COMPLETE
3,3.9968028886505635e-15,2026-01-13 10:40:05.692547,2026-01-13 10:40:05.733190,0 days 00:00:00.040643,117,17,COMPLETE
4,4.440892098500626e-16,2026-01-13 10:40:05.733769,2026-01-13 10:40:05.795855,0 days 00:00:00.062086,182,17,COMPLETE
