number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,-177.59416755901907,2026-01-13 10:40:45.334156,2026-01-13 10:40:45.357640,0 days 00:00:00.023484,131,14,COMPLETE
1,-177.48634720119435,2026-01-13 10:40:45.358221,2026-01-13 10:40:45.368530,0 days 00:00:00.010309,60,11,COMPLETE
2,-177.65292408716732,2026-01-13 10:40:45.369440,2026-01-13 10:40:45.433584,0 days 00:00:00.064144,166,31,COMPLETE
3,0.055320075149893455,2026-01-13 10:40:45.434911,2026-01-13 10:40:45.467526,0 days 00:00:00.032615,97,28,COMPLETE
4,-177.61472622250892,2026-01-13 10:40:45.468118,2026-01-13 10:40:45.503474,0 days 00:00:00.035356,77,37,COMPLETE
5,-177.04078744214667,2026-01-13 10:40:45.504096,2026-01-13 10:40:45.534060,0 days 00:00:00.029964,65,36,COMPLETE
6,-138.1306837458851,2026-01-13 10:40:45.534711,2026-01-13 10:40:45.570637,0 days 00:00:00.035926,52,28,COMPLETE
