number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,3.405542581602453e-15,2026-01-13 10:39:45.683465,2026-01-13 10:39:45.692810,0 days 00:00:00.009345,159,5,COMPLETE
1,5.58382766960156e-09,2026-01-13 10:39:45.693434,2026-01-13 10:39:45.716937,0 days 00:00:00.023503,85,23,COMPLETE
2,4.334070712678719e-14,2026-01-13 10:39:45.717557,2026-01-13 10:39:45.737204,0 days 00:00:00.019647,181,9,COMPLETE
3,2.627168599935448e-13,2026-01-13 10:39:45.737829,2026-01-13 10:39:45.778868,0 days 00:00:00.041039,139,26,COMPLETE
4,3.9294139308182984e-10,2026-01-13 10:39:45.779478,2026-01-13 10:39:45.797262,0 days 00:00:00.017784,181,9,COMPLETE
