number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,1.3420373285090292,2026-01-13 10:39:59.242402,2026-01-13 10:39:59.254139,0 days 00:00:00.011737,109,8,COMPLETE
1,0.0005064084271566571,2026-01-13 10:39:59.255322,2026-01-13 10:39:59.286969,0 days 00:00:00.031647,64,40,COMPLETE
2,0.99594782237752,2026-01-13 10:39:59.287563,2026-01-13 10:39:59.326374,0 days 00:00:00.038811,74,39,COMPLETE
3,0.9958783472335426,2026-01-13 10:39:59.327174,2026-01-13 10:39:59.384898,0 days 00:00:00.057724,168,29,COMPLETE
4,1.0132259266454042,2026-01-13 10:39:59.385487,2026-01-13 10:39:59.415806,0 days 00:00:00.030319,65,34,COMPLETE
5,0.03554317807509122,2026-01-13 10:39:59.416210,2026-01-13 10:39:59.423251,0 days 00:00:00.007041,62,8,COMPLETE
