number,value,datetime_start,datetime_complete,duration,params_mutation,params_popsize,params_recombination,state
0,0.0,2026-01-13 10:39:42.731427,2026-01-13 10:39:42.784054,0 days 00:00:00.052627,0.7080549776292229,11,0.4842395946525323,COMPLETE
1,0.0,2026-01-13 10:39:42.784631,2026-01-13 10:39:42.846175,0 days 00:00:00.061544,0.4538778455877833,26,0.7162557462041843,COMPLETE
2,0.0,2026-01-13 10:39:42.847146,2026-01-13 10:39:42.894441,0 days 00:00:00.047295,0.7212570908204519,10,0.4508510373603088,COMPLETE
3,0.0,2026-01-13 10:39:42.895157,2026-01-13 10:39:42.974644,0 days 00:00:00.079487,0.37705323352662484,35,0.8349851219164126,COMPLETE
4,0.0,2026-01-13 10:39:42.975220,2026-01-13 10:39:43.045802,0 days 00:00:00.070582,0.6754032268302743,18,0.6824161051488598,COMPLETE
