number,value,datetime_start,datetime_complete,duration,params_grad_refinement_pct,params_init_pack_size,params_max_iterations,params_n_packs,params_surrogate_enabled,params_use_gradient,state
0,0.0009238276830001446,2026-01-13 10:40:02.073987,2026-01-13 10:40:02.129584,0 days 00:00:00.055597,0.1000074002606247,8,243,2,False,False,COMPLETE
1,0.0011845326693031843,2026-01-13 10:40:02.130230,2026-01-13 10:40:02.293994,0 days 00:00:00.163764,0.19310246646393203,24,361,4,False,False,COMPLETE
2,0.0005378904282165031,2026-01-13 10:40:02.294895,2026-01-13 10:40:02.383734,0 days 00:00:00.088839,0.07205719980421305,9,252,5,True,True,COMPLETE
3,0.011743160911838135,2026-01-13 10:40:02.384366,2026-01-13 10:40:02.437034,0 days 00:00:00.052668,0.18211766485235936,17,371,3,False,False,COMPLETE
4,0.0033295768424186356,2026-01-13 10:40:02.437846,2026-01-13 10:40:02.628516,0 days 00:00:00.190670,0.1800087686586433,24,388,6,False,True,COMPLETE
5,0.04717195471371527,2026-01-13 10:40:02.629117,2026-01-13 10:40:02.654629,0 days 00:00:00.025512,0.1499339036544014,8,370,2,True,True,COMPLETE
6,0.009111654145101955,2026-01-13 10:40:02.655301,2026-01-13 10:40:02.697484,0 days 00:00:00.042183,0.06789180826505924,9,325,6,False,False,COMPLETE
