number,value,datetime_start,datetime_complete,duration,params_c1,params_c2,params_n_particles,params_w,state
0,3.948244132607069e-10,2026-01-13 10:39:43.053915,2026-01-13 10:39:43.069413,0 days 00:00:00.015498,1.9463994997614094,0.5320660633713379,26,0.7712593706034776,COMPLETE
1,3.8142128776159296e-33,2026-01-13 10:39:43.070304,2026-01-13 10:39:43.094529,0 days 00:00:00.024225,1.8535575039509413,1.7352131651946812,23,0.33243860942154624,COMPLETE
2,1.3866550562456042e-12,2026-01-13 10:39:43.095620,2026-01-13 10:39:43.109350,0 days 00:00:00.013730,0.8609663090964421,1.678557618096936,11,0.7632822991650507,COMPLETE
3,7.101488990912772e-17,2026-01-13 10:39:43.110470,2026-01-13 10:39:43.132681,0 days 00:00:00.022211,0.9713761000555061,1.4014235789017848,46,0.7218769321460221,COMPLETE
4,4.195239397691551e-26,2026-01-13 10:39:43.133337,2026-01-13 10:39:43.150568,0 days 00:00:00.017231,1.9994594537755024,1.8375354805704882,37,0.4238418987185293,COMPLETE
