number,value,datetime_start,datetime_complete,duration,params_c1,params_c2,params_n_particles,params_w,state
0,830.0751967494313,2026-01-13 10:40:30.157690,2026-01-13 10:40:30.210087,0 days 00:00:00.052397,1.9490216924653856,0.5414069463549424,37,0.6843740744639273,COMPLETE
1,830.0751967494341,2026-01-13 10:40:30.211784,2026-01-13 10:40:30.282701,0 days 00:00:00.070917,1.3407457973807966,1.7341643379309237,57,0.7479125403221927,COMPLETE
2,-1672914.5499989488,2026-01-13 10:40:30.284027,2026-01-13 10:40:30.310029,0 days 00:00:00.026002,0.8139727004564845,1.9621136810207525,11,0.8917642409816358,COMPLETE
3,831.0585655049465,2026-01-13 10:40:30.310904,2026-01-13 10:40:30.387134,0 days 00:00:00.076230,0.9815432922153532,0.6703477439894292,46,0.5264070449965526,COMPLETE
4,-25877870975.749104,2026-01-13 10:40:30.388349,2026-01-13 10:40:30.428674,0 days 00:00:00.040325,1.3590642197819969,1.927355172844929,19,0.8532183721502917,COMPLETE
5,-1398216989.684788,2026-01-13 10:40:30.430327,2026-01-13 10:40:30.465225,0 days 00:00:00.034898,1.6321073458258535,1.7810399027759587,16,0.8430077705577639,COMPLETE
6,830.0751967494313,2026-01-13 10:40:30.466562,2026-01-13 10:40:30.506520,0 days 00:00:00.039958,0.9046149120920246,0.9978223546945777,23,0.6478735489209875,COMPLETE
7,830.0751967494313,2026-01-13 10:40:30.507976,2026-01-13 10:40:30.556297,0 days 00:00:00.048321,1.7213811375764578,1.5478120743986374,31,0.5656988151944491,COMPLETE
8,830.0751967494313,2026-01-13 10:40:30.557876,2026-01-13 10:40:30.596056,0 days 00:00:00.038180,0.6094604161091451,1.0738232613712264,23,0.5708265068949588,COMPLETE
