number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,0.0018496242110785852,2026-01-13 10:39:50.289379,2026-01-13 10:39:50.315550,0 days 00:00:00.026171,143,24,COMPLETE
1,0.0001950295690795789,2026-01-13 10:39:50.316340,2026-01-13 10:39:50.331057,0 days 00:00:00.014717,68,23,COMPLETE
2,0.00013848570558579648,2026-01-13 10:39:50.332154,2026-01-13 10:39:50.355852,0 days 00:00:00.023698,200,15,COMPLETE
3,3.772361911742094e-06,2026-01-13 10:39:50.356612,2026-01-13 10:39:50.392088,0 days 00:00:00.035476,125,38,COMPLETE
4,0.0009157144390302289,2026-01-13 10:39:50.392679,2026-01-13 10:39:50.404770,0 days 00:00:00.012091,82,20,COMPLETE
5,0.0045679905229940665,2026-01-13 10:39:50.405268,2026-01-13 10:39:50.413989,0 days 00:00:00.008721,121,10,COMPLETE
6,0.004539329846252764,2026-01-13 10:39:50.414439,2026-01-13 10:39:50.431304,0 days 00:00:00.016865,140,16,COMPLETE
7,0.0007165585790841016,2026-01-13 10:39:50.431880,2026-01-13 10:39:50.440576,0 days 00:00:00.008696,145,8,COMPLETE
