number,value,datetime_start,datetime_complete,duration,params_mutation,params_popsize,params_recombination,state
0,3.9968028886505635e-15,2026-01-13 10:40:06.613928,2026-01-13 10:40:06.811387,0 days 00:00:00.197459,0.7595649896481967,33,0.8298599503102579,COMPLETE
1,3.9968028886505635e-15,2026-01-13 10:40:06.812081,2026-01-13 10:40:06.995192,0 days 00:00:00.183111,0.4166001609938576,34,0.4737875051052011,COMPLETE
2,3.9968028886505635e-15,2026-01-13 10:40:06.995890,2026-01-13 10:40:07.114764,0 days 00:00:00.118874,0.4048042656508492,34,0.5076545315924256,COMPLETE
3,3.9968028886505635e-15,2026-01-13 10:40:07.115347,2026-01-13 10:40:07.198334,0 days 00:00:00.082987,0.5648249228732718,19,0.7199361344834844,COMPLETE
4,3.9968028886505635e-15,2026-01-13 10:40:07.199276,2026-01-13 10:40:07.291022,0 days 00:00:00.091746,0.6579472176170114,19,0.8414936653645042,COMPLETE
