number,value,datetime_start,datetime_complete,duration,params_c1,params_c2,params_n_particles,params_w,state
0,2.5799275570298694,2026-01-13 10:40:03.186044,2026-01-13 10:40:03.220480,0 days 00:00:00.034436,1.894211450780746,1.5518695536182936,31,0.43315059851848703,COMPLETE
1,2.3389827408237807e-08,2026-01-13 10:40:03.221329,2026-01-13 10:40:03.277920,0 days 00:00:00.056591,1.8623742072428273,0.7498286188587853,57,0.6591330130302042,COMPLETE
2,1.2831380402644754e-10,2026-01-13 10:40:03.278554,2026-01-13 10:40:03.311387,0 days 00:00:00.032833,1.9864352518449069,1.9669830152165364,24,0.3854169682320839,COMPLETE
3,5.381864187490191,2026-01-13 10:40:03.312063,2026-01-13 10:40:03.360626,0 days 00:00:00.048563,0.5073102738126358,1.340969595544567,50,0.41248055496037583,COMPLETE
4,6.838575261625124e-08,2026-01-13 10:40:03.361690,2026-01-13 10:40:03.401717,0 days 00:00:00.040027,1.957968374077696,0.5505578403589602,39,0.7051360716304622,COMPLETE
5,2.579927557029873,2026-01-13 10:40:03.402382,2026-01-13 10:40:03.458677,0 days 00:00:00.056295,1.726061215629252,0.5702065024211449,55,0.6199459592140192,COMPLETE
