number,value,datetime_start,datetime_complete,duration,params_max_iter,params_n_agents,state
0,0.00113756456191383,2026-01-13 10:39:51.526573,2026-01-13 10:39:51.550360,0 days 00:00:00.023787,162,18,COMPLETE
1,1.658878798371487e-05,2026-01-13 10:39:51.550965,2026-01-13 10:39:51.582134,0 days 00:00:00.031169,120,35,COMPLETE
2,9.85274109467719e-06,2026-01-13 10:39:51.582714,2026-01-13 10:39:51.613633,0 days 00:00:00.030919,199,21,COMPLETE
3,5.674952365339623e-06,2026-01-13 10:39:51.614460,2026-01-13 10:39:51.636124,0 days 00:00:00.021664,130,23,COMPLETE
4,0.36103731219757285,2026-01-13 10:39:51.636870,2026-01-13 10:39:51.640791,0 days 00:00:00.003921,41,10,COMPLETE
5,0.001720208398445272,2026-01-13 10:39:51.641323,2026-01-13 10:39:51.658659,0 days 00:00:00.017336,73,26,COMPLETE
6,0.0216383678455696,2026-01-13 10:39:51.659147,2026-01-13 10:39:51.678115,0 days 00:00:00.018968,116,20,COMPLETE
7,0.00015525992541043802,2026-01-13 10:39:51.679522,2026-01-13 10:39:51.715761,0 days 00:00:00.036239,195,26,COMPLETE
